listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
712260,2025-01-01,29,2,0.065,547.0,273.2,273.5,119,1,30,274.0,273.0,547.0
712260,2025-08-01,31,0,0.0,0.0,242.1,,,,30,,242.0,0.0
712260,2025-07-01,27,4,0.129,949.0,238.8,237.2,20,1,30,237.0,239.0,949.0
712260,2025-06-01,29,1,0.033,253.0,247.2,253.0,277,1,30,253.0,247.0,253.0
712260,2024-11-01,30,0,0.0,0.0,279.2,,,,,,279.0,0.0
712260,2024-09-01,30,0,0.0,0.0,278.9,,,,,,279.0,0.0
712260,2025-05-01,29,2,0.065,488.0,242.5,244.0,249,1,30,244.0,243.0,488.0
712260,2025-02-01,27,1,0.036,282.0,278.0,282.0,158,1,30,282.0,278.0,282.0
712260,2024-12-01,31,0,0.0,0.0,277.4,,,,30,,277.0,0.0
712260,2024-10-01,31,0,0.0,0.0,280.6,,,,,,281.0,0.0
712260,2025-03-01,29,2,0.065,560.0,280.6,280.0,188,2,30,280.0,281.0,560.0
712260,2025-04-01,29,1,0.033,242.0,249.2,242.0,219,1,30,242.0,249.0,242.0
476983,2025-06-01,18,12,0.4,554.0,45.5,46.2,178,12,30,46.0,46.0,554.0
67299,2025-04-01,0,30,1.0,5067.0,168.9,168.9,29,61,30,169.0,169.0,5067.0
944840,2024-12-01,31,0,0.0,0.0,87.1,,,,,,87.0,0.0
67299,2024-10-01,2,29,0.935,5673.0,195.4,195.6,24,60,,196.0,195.0,5673.0
125163,2025-03-01,31,0,0.0,0.0,102.1,,,,30,,102.0,0.0
125163,2024-09-01,30,0,0.0,0.0,129.9,,,,,,130.0,0.0
944840,2024-11-01,30,0,0.0,0.0,86.9,,,,,,87.0,0.0
476983,2025-01-01,13,18,0.581,878.0,48.4,48.8,239,34,30,49.0,48.0,878.0
476983,2025-05-01,6,25,0.806,1122.0,45.0,44.9,,,30,45.0,45.0,1122.0
476983,2025-02-01,5,23,0.821,1164.0,50.7,50.6,207,1,30,51.0,51.0,1164.0
67299,2025-01-01,1,30,0.968,5960.0,198.1,198.7,22,28,30,199.0,198.0,5960.0
476983,2024-09-01,15,15,0.5,707.0,47.9,47.1,143,34,,47.0,48.0,707.0
476983,2024-11-01,0,30,1.0,1555.0,51.8,51.8,33,30,,52.0,52.0,1555.0
125163,2025-04-01,17,13,0.433,1359.0,105.3,104.5,1,14,30,105.0,105.0,1359.0
125163,2024-12-01,31,0,0.0,0.0,112.4,,,,30,,112.0,0.0
67299,2025-02-01,0,28,1.0,5014.0,179.1,179.1,51,31,30,179.0,179.0,5014.0
944840,2025-01-01,31,0,0.0,0.0,87.9,,,,50,,88.0,0.0
944840,2025-08-01,17,14,0.452,1302.0,93.6,93.0,62,73,40,93.0,94.0,1302.0
67299,2025-06-01,2,28,0.933,5074.0,180.2,181.2,32,28,30,181.0,180.0,5074.0
476983,2024-10-01,11,20,0.645,993.0,49.7,49.6,81,1,,50.0,50.0,993.0
125163,2025-06-01,30,0,0.0,0.0,99.6,,,,30,,100.0,0.0
476983,2024-12-01,6,25,0.806,1275.0,50.6,51.0,69,31,30,51.0,51.0,1275.0
944840,2025-04-01,30,0,0.0,0.0,95.0,,,,50,,95.0,0.0
476983,2025-08-01,31,0,0.0,0.0,45.4,,,,30,,45.0,0.0
944840,2025-06-01,30,0,0.0,0.0,95.4,,,,50,,95.0,0.0
125163,2025-07-01,31,0,0.0,0.0,93.3,,,,30,,93.0,0.0
476983,2025-07-01,31,0,0.0,0.0,45.1,,,,30,,45.0,0.0
125163,2024-10-01,31,0,0.0,0.0,125.8,,,,,,126.0,0.0
67299,2025-08-01,2,29,0.935,4829.0,167.0,166.5,,,30,167.0,167.0,4829.0
944840,2025-03-01,31,0,0.0,0.0,89.6,,,,50,,90.0,0.0
67299,2025-07-01,0,31,1.0,5678.0,183.2,183.2,28,30,30,183.0,183.0,5678.0
67299,2025-03-01,28,3,0.097,492.0,160.6,164.0,,,30,164.0,161.0,492.0
67299,2025-05-01,0,31,1.0,5269.0,170.0,170.0,,,30,170.0,170.0,5269.0
944840,2025-02-01,28,0,0.0,0.0,88.5,,,,50,,89.0,0.0
