listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
712260,2026-01-01,31,0,0.0,0.0,239.7,,,,30,,240.0,0.0
712260,2026-02-01,28,0,0.0,0.0,238.8,,,,30,,239.0,0.0
712260,2026-03-01,31,0,0.0,0.0,241.2,,,,30,,241.0,0.0
712260,2026-05-01,31,0,0.0,0.0,243.2,,,,30,,243.0,0.0
712260,2025-12-01,31,0,0.0,0.0,241.5,,,,30,,242.0,0.0
712260,2025-09-01,30,0,0.0,0.0,243.5,,,,30,,244.0,0.0
712260,2025-10-01,31,0,0.0,0.0,238.3,,,,30,,238.0,0.0
712260,2026-04-01,30,0,0.0,0.0,242.3,,,,30,,242.0,0.0
712260,2025-11-01,30,0,0.0,0.0,238.7,,,,30,,239.0,0.0
712260,2026-06-01,30,0,0.0,0.0,246.1,,,,30,,246.0,0.0
712260,2026-07-01,31,0,0.0,0.0,243.1,,,,,,243.0,0.0
712260,2026-08-01,31,0,0.0,0.0,242.5,,,,,,243.0,0.0
886808,2026-08-01,31,0,0.0,0.0,90.6,,,,1,,91.0,0.0
302705,2025-10-01,20,11,0.355,757.0,71.3,68.8,99,31,30,69.0,71.0,757.0
886808,2025-10-01,8,23,0.742,2051.0,90.5,89.2,110,3,1,89.0,91.0,2051.0
302705,2025-11-01,7,23,0.767,1629.0,72.8,70.8,,,30,71.0,73.0,1629.0
886808,2025-12-01,23,8,0.258,682.0,81.7,85.2,149,4,1,85.0,82.0,682.0
783202,2026-06-01,30,0,0.0,0.0,379.0,,,,1,,379.0,0.0
886808,2026-05-01,31,0,0.0,0.0,88.2,,,,1,,88.0,0.0
783202,2026-03-01,31,0,0.0,0.0,379.3,,,,1,,379.0,0.0
783202,2026-05-01,31,0,0.0,0.0,379.7,,,,1,,380.0,0.0
783202,2025-12-01,31,0,0.0,0.0,389.2,,,,1,,389.0,0.0
302705,2025-12-01,31,0,0.0,0.0,76.4,,,,30,,76.0,0.0
783202,2026-07-01,31,0,0.0,0.0,379.3,,,,1,,379.0,0.0
886808,2025-11-01,10,20,0.667,1767.0,89.9,88.3,130,3,1,88.0,90.0,1767.0
783202,2025-09-01,8,22,0.733,8716.0,401.5,396.2,23,4,1,396.0,402.0,8716.0
886808,2026-01-01,28,3,0.097,237.0,82.7,79.0,143,3,1,79.0,83.0,237.0
302705,2026-05-01,31,0,0.0,0.0,66.0,,,,30,,66.0,0.0
302705,2026-02-01,28,0,0.0,0.0,69.8,,,,30,,70.0,0.0
783202,2026-08-01,31,0,0.0,0.0,390.4,,,,1,,390.0,0.0
886808,2026-03-01,31,0,0.0,0.0,88.8,,,,1,,89.0,0.0
886808,2026-02-01,28,0,0.0,0.0,88.3,,,,1,,88.0,0.0
783202,2026-04-01,30,0,0.0,0.0,380.2,,,,1,,380.0,0.0
886808,2026-06-01,30,0,0.0,0.0,87.1,,,,1,,87.0,0.0
886808,2026-04-01,30,0,0.0,0.0,88.0,,,,1,,88.0,0.0
783202,2025-11-01,30,0,0.0,0.0,396.5,,,,1,,397.0,0.0
302705,2026-08-01,31,0,0.0,0.0,68.3,,,,30,,68.0,0.0
783202,2025-10-01,26,5,0.161,1973.0,408.1,394.6,63,5,1,395.0,408.0,1973.0
302705,2026-01-01,31,0,0.0,0.0,75.0,,,,30,,75.0,0.0
302705,2026-03-01,31,0,0.0,0.0,66.9,,,,30,,67.0,0.0
302705,2026-07-01,31,0,0.0,0.0,67.1,,,,30,,67.0,0.0
302705,2025-09-01,0,30,1.0,2148.0,71.6,71.6,257,33,30,72.0,72.0,2148.0
302705,2026-06-01,30,0,0.0,0.0,65.1,,,,30,,65.0,0.0
302705,2026-04-01,30,0,0.0,0.0,67.4,,,,30,,67.0,0.0
886808,2025-09-01,2,28,0.933,2374.0,85.2,84.8,107,2,1,85.0,85.0,2374.0
783202,2026-01-01,31,0,0.0,0.0,383.9,,,,1,,384.0,0.0
886808,2026-07-01,31,0,0.0,0.0,90.2,,,,1,,90.0,0.0
783202,2026-02-01,28,0,0.0,0.0,382.5,,,,1,,383.0,0.0
253846,2026-04-01,30,0,0.0,0.0,382.0,,,,1,,382.0,0.0
296717,2026-08-01,31,0,0.0,0.0,40.4,,,,,,40.0,0.0
253846,2026-07-01,31,0,0.0,0.0,386.3,,,,,,386.0,0.0
253846,2025-11-01,30,0,0.0,0.0,388.4,,,,1,,388.0,0.0
296717,2026-02-01,28,0,0.0,0.0,39.0,,,,30,,39.0,0.0
296717,2025-11-01,30,0,0.0,0.0,40.4,,,,30,,40.0,0.0
253846,2026-08-01,31,0,0.0,0.0,387.7,,,,,,388.0,0.0
296717,2026-04-01,30,0,0.0,0.0,40.0,,,,30,,40.0,0.0
253846,2026-01-01,31,0,0.0,0.0,376.1,,,,1,,376.0,0.0
296717,2026-06-01,30,0,0.0,0.0,40.3,,,,30,,40.0,0.0
253846,2026-02-01,28,0,0.0,0.0,381.1,,,,1,,381.0,0.0
296717,2025-10-01,31,0,0.0,0.0,40.7,,,,30,,41.0,0.0
253846,2025-12-01,31,0,0.0,0.0,372.5,,,,1,,373.0,0.0
253846,2026-06-01,30,0,0.0,0.0,387.6,,,,,,388.0,0.0
253846,2026-05-01,31,0,0.0,0.0,388.3,,,,1,,388.0,0.0
296717,2026-05-01,31,0,0.0,0.0,39.5,,,,30,,40.0,0.0
253846,2025-10-01,31,0,0.0,0.0,386.7,,,,1,,387.0,0.0
253846,2025-09-01,30,0,0.0,0.0,390.4,,,,1,,390.0,0.0
296717,2025-09-01,30,0,0.0,0.0,41.3,,,,30,,41.0,0.0
296717,2026-07-01,31,0,0.0,0.0,40.2,,,,,,40.0,0.0
296717,2025-12-01,31,0,0.0,0.0,38.9,,,,30,,39.0,0.0
253846,2026-03-01,31,0,0.0,0.0,385.2,,,,1,,385.0,0.0
296717,2026-03-01,31,0,0.0,0.0,39.4,,,,30,,39.0,0.0
296717,2026-01-01,31,0,0.0,0.0,40.1,,,,30,,40.0,0.0
794156,2026-01-01,31,0,0.0,0.0,240.8,,,,30,,241.0,0.0
176135,2026-03-01,31,0,0.0,0.0,107.4,,,,30,,107.0,0.0
176135,2026-07-01,31,0,0.0,0.0,108.8,,,,,,109.0,0.0
794156,2025-09-01,18,12,0.4,2834.0,236.8,236.2,76,12,30,236.0,237.0,2834.0
530576,2026-02-01,28,0,0.0,0.0,112.7,,,,30,,113.0,0.0
530576,2026-05-01,31,0,0.0,0.0,113.9,,,,30,,114.0,0.0
794156,2026-03-01,31,0,0.0,0.0,237.8,,,,30,,238.0,0.0
176135,2025-12-01,31,0,0.0,0.0,107.6,,,,30,,108.0,0.0
176135,2026-02-01,28,0,0.0,0.0,106.7,,,,30,,107.0,0.0
794156,2025-10-01,1,30,0.968,7011.0,233.9,233.7,308,15,30,234.0,234.0,7011.0
794156,2026-08-01,31,0,0.0,0.0,237.8,,,,,,238.0,0.0
530576,2026-03-01,31,0,0.0,0.0,111.8,,,,30,,112.0,0.0
794156,2026-07-01,31,0,0.0,0.0,242.9,,,,,,243.0,0.0
530576,2026-07-01,31,0,0.0,0.0,112.3,,,,30,,112.0,0.0
530576,2026-01-01,31,0,0.0,0.0,111.4,,,,30,,111.0,0.0
794156,2026-06-01,30,0,0.0,0.0,241.3,,,,30,,241.0,0.0
530576,2025-12-01,31,0,0.0,0.0,116.1,,,,30,,116.0,0.0
