listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
6848,Only 2 stops to Manhattan studio,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/e4f031a7-f146-40fd-98fd-b399a940c505.jpg,15,15991,Allen,"","",true,40.7094,-73.9534,3,2,1,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron",false,30,Firm,USD,0,0,195,4.59,4.6,4.8,4.8,4.8,4.7,4.6,10101.0,10101.0,93.9,93.9,0.293,0.648,27.7,27.7,61.2,61.2,107,200,258,365,0.0,0.0,94.2,94.2,0.0,0.0,0.0,0.0,0.0,0.0,0,81,90,90
6990,UES Beautiful Blue Room,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/86985bff-befd-44c5-b6d9-c1f62504a35c.jpg,35,16800,Cynthia,"","",false,40.7878,-73.9476,,2,2,0.0,false,"Stove,TV,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Fire extinguisher,Kitchen,Room-darkening shades,Paid parking off premises,Hangers,Hair dryer,Hot water,Iron,Bed linens,Extra pillows and blankets,Free street parking,Coffee maker,Refrigerator,Heating,Clothing storage",false,30,Moderate,USD,0,0,249,4.88,4.8,5.0,5.0,4.9,4.8,4.8,14286.0,14286.0,73.6,73.6,0.532,0.632,39.1,39.1,46.5,46.5,194,58,171,365,2370.0,2370.0,74.3,74.3,0.356,0.8,26.3,26.3,59.2,59.2,32,50,58,90
7097,"Perfect for Your Parents, With Garden & Patio",Private room in guest suite,private_room,https://a0.muscache.com/im/pictures/107655534/faa0ee03_original.jpg,29,17571,Jane,"","",true,40.6919,-73.9739,,,2,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Ceiling fan,Mini fridge,Free street parking,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Toaster",true,2,Flexible,USD,0,0,417,4.89,4.9,5.0,4.9,4.9,5.0,4.8,75695.0,75695.0,238.4,238.4,0.871,0.0,207.4,207.4,0.0,0.0,318,0,47,365,19338.0,19338.0,227.2,227.2,0.944,0.0,214.9,214.9,0.0,0.0,85,0,5,90
7801,Sunny Williamsburg Loft with Sauna,Entire place,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-7801/original/f31c7201-7f25-41eb-a34a-cd39b498c585.jpeg,16,21207,Chaya,313584,Elie,true,40.7188,-73.9562,2,,1,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Board games,Hot water kettle,Paid parking off premises,Books and reading material,Ceiling fan,Record player,Conditioner,Free street parking,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Sound system,Bathtub,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,Shower gel,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Toaster",false,30,Strict,USD,295,0,12,4.91,4.8,4.9,4.7,4.8,5.0,4.9,5107.0,5107.0,335.3,335.3,0.038,0.058,14.0,14.0,21.0,21.0,14,122,351,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
8490,"Maison des Sirenes1,bohemian, luminous apartment",Entire loft,entire_home,https://a0.muscache.com/im/pictures/1d0d9773-c829-4031-8a57-96e321905a1c.jpg,58,25183,Nathalie,"","",false,40.6846,-73.9396,5,1,4,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Board games,Hot water kettle,Books and reading material,Ceiling fan,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Carbon monoxide alarm,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Rice maker,Bathtub,Children’s books and toys,Room-darkening shades,Hot water,Body soap,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",false,30,Strict,USD,135,0,190,4.77,4.8,4.9,4.7,4.9,4.7,4.8,3655.0,3655.0,175.0,175.0,0.058,0.179,10.0,10.0,31.2,31.2,21,248,344,365,1180.0,1180.0,168.4,168.4,0.078,0.304,13.1,13.1,51.3,51.3,7,67,83,90
9357,Midtown Pied-a-terre,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/90036/4e606654_original.jpg,8,30193,Tommi,"","",false,40.7672,-73.9866,2,,1,1.0,false,"Wifi,Air conditioning,Kitchen,Room-darkening shades,Hot water kettle,Paid parking off premises,Ceiling fan,Pets allowed,Hot water,Body soap,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Baking sheet,Freezer,Toaster,Bathtub",false,45,Strict,USD,100,0,58,4.52,4.7,5.0,4.2,5.0,5.0,4.6,2935.0,2935.0,183.5,183.5,0.044,0.056,8.0,8.0,10.3,10.3,16,80,349,365,1417.0,1417.0,177.9,177.9,0.089,0.0,15.7,15.7,0.0,0.0,8,0,82,90
10452,Radiant Oasis  B&B Style room,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/16336319/ffaf266f_original.jpg,9,35935,Angela,"","",true,40.6829,-73.9568,,,2,0.0,false,"TV,Blender,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Baking sheet,Freezer,Toaster",false,30,Strict,USD,0,5,82,4.66,4.5,4.7,4.6,4.8,4.4,4.7,6277.0,6277.0,78.4,78.4,0.216,0.731,17.2,17.2,58.1,58.1,79,257,286,365,0.0,0.0,63.4,63.4,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
12192,ENJOY Downtown NYC!,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-12192/original/0eea0b5f-5217-4aec-a206-c487234a6c6a.jpeg,12,46978,Edward,"","",true,40.7230,-73.9838,,,1,0.0,false,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Smoke alarm,Carbon monoxide alarm,First aid kit,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",false,30,Flexible,USD,50,15,315,4.4,4.6,4.8,4.1,4.8,4.7,4.5,5895.0,5895.0,72.4,72.4,0.208,0.655,16.2,16.2,50.8,50.8,76,249,289,365,0.0,0.0,59.3,59.3,0.0,0.0,0.0,0.0,0.0,0.0,0,86,90,90
12937,"1 Stop to Midtown! Private Bedroom, Landmark House",Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/2053dcc6-7721-477f-b579-09ce4d4f7db5.jpg,24,50124,Orestes,"","",false,40.7476,-73.9457,,,2,0.0,false,"Wifi,Air conditioning,Books and reading material,Ceiling fan,Hot water,Body soap,Conditioner,Mini fridge,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Laundromat nearby,Outdoor furniture,Microwave,Cleaning products,Coffee maker,Dishes and silverware,Heating,Coffee,Clothing storage,Dryer,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron",true,3,Firm,USD,25,0,445,4.92,4.9,4.9,4.9,4.9,4.9,4.8,53725.0,53725.0,202.6,202.6,0.734,0.0,147.2,147.2,0.0,0.0,268,0,97,365,8225.0,8225.0,214.2,214.2,0.433,0.0,91.4,91.4,0.0,0.0,39,0,51,90
12940,Charming Brownstone 3 - Near PRATT,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-12940/original/f27a1f49-11d3-45fa-83c2-b744d42bd07e.jpeg,26,50148,Adreinne,"","",false,40.6795,-73.9542,2,1,1,1.0,false,"Stove,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Kitchen,Essentials,Hangers,Hair dryer,Hot water,Iron,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven",false,30,Moderate,USD,100,0,80,4.58,4.6,4.7,4.5,4.6,4.1,4.4,24840.0,24840.0,128.5,128.5,0.532,0.758,68.1,68.1,97.0,97.0,194,109,171,365,4465.0,4465.0,128.5,128.5,0.389,0.7,49.6,49.6,89.3,89.3,35,40,55,90
