listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
4187372,2026-01-01,30,1,0.032,41.0,38.0,41.0,135,1,29,56.0,52.0,56.0
5138428,2025-09-01,30,0,0.0,0.0,78.6,,,,3,,108.0,0.0
5138428,2026-04-01,30,0,0.0,0.0,81.1,,,,3,,111.0,0.0
4187372,2026-04-01,30,0,0.0,0.0,39.6,,,,29,,54.0,0.0
5138428,2026-07-01,31,0,0.0,0.0,80.3,,,,,,110.0,0.0
5138428,2025-10-01,31,0,0.0,0.0,78.3,,,,3,,108.0,0.0
4187372,2026-06-01,30,0,0.0,0.0,39.7,,,,29,,55.0,0.0
5138428,2026-01-01,31,0,0.0,0.0,82.1,,,,3,,113.0,0.0
5138428,2025-11-01,30,0,0.0,0.0,78.0,,,,3,,107.0,0.0
5138428,2026-02-01,28,0,0.0,0.0,82.0,,,,3,,113.0,0.0
4187372,2026-03-01,31,0,0.0,0.0,39.5,,,,29,,54.0,0.0
4187372,2025-12-01,28,3,0.097,107.0,35.8,35.7,107,1,29,49.0,49.0,147.0
4187372,2026-07-01,31,0,0.0,0.0,40.2,,,,29,,55.0,0.0
5138428,2026-06-01,30,0,0.0,0.0,80.4,,,,,,110.0,0.0
4187372,2026-02-01,28,0,0.0,0.0,39.2,,,,29,,54.0,0.0
5138428,2025-12-01,31,0,0.0,0.0,81.7,,,,3,,112.0,0.0
4187372,2025-11-01,28,2,0.067,75.0,36.7,37.5,72,1,29,52.0,50.0,103.0
5138428,2026-03-01,31,0,0.0,0.0,81.9,,,,3,,113.0,0.0
4187372,2026-05-01,31,0,0.0,0.0,39.1,,,,29,,54.0,0.0
4187372,2026-08-01,31,0,0.0,0.0,40.3,,,,29,,55.0,0.0
5138428,2026-08-01,31,0,0.0,0.0,80.0,,,,,,110.0,0.0
4187372,2025-09-01,4,26,0.867,1028.0,39.4,39.5,155,5,29,54.0,54.0,1412.0
4187372,2025-10-01,29,2,0.065,67.0,36.3,33.5,44,1,29,46.0,50.0,92.0
5138428,2026-05-01,31,0,0.0,0.0,80.7,,,,3,,111.0,0.0
1110760,2026-01-01,0,31,1.0,1705.0,55.0,55.0,,,28,76.0,76.0,2342.0
1110760,2026-03-01,30,1,0.032,55.0,57.6,55.0,,,28,76.0,79.0,76.0
1110760,2025-10-01,0,31,1.0,1622.0,52.3,52.3,,,28,72.0,72.0,2228.0
1110760,2025-12-01,0,31,1.0,1685.0,54.4,54.4,,,28,75.0,75.0,2315.0
1110760,2025-11-01,0,30,1.0,1575.0,52.5,52.5,,,28,72.0,72.0,2164.0
1110760,2026-06-01,30,0,0.0,0.0,59.6,,,,28,,82.0,0.0
1110760,2026-08-01,31,0,0.0,0.0,65.8,,,,28,,90.0,0.0
1110760,2026-04-01,30,0,0.0,0.0,56.7,,,,28,,78.0,0.0
1110760,2026-05-01,31,0,0.0,0.0,57.2,,,,28,,79.0,0.0
1110760,2026-02-01,0,28,1.0,1526.0,54.5,54.5,,,28,75.0,75.0,2096.0
1110760,2026-07-01,31,0,0.0,0.0,67.7,,,,28,,93.0,0.0
1110760,2025-09-01,0,30,1.0,1659.0,55.3,55.3,40,182,28,76.0,76.0,2279.0
3922966,2026-08-01,31,0,0.0,0.0,168.6,,,,,,232.0,0.0
3922966,2025-09-01,11,19,0.633,3165.0,166.0,166.6,177,4,2,229.0,228.0,4348.0
638586,2025-10-01,31,0,0.0,0.0,109.2,,,,30,,150.0,0.0
3922966,2026-07-01,31,0,0.0,0.0,167.9,,,,,,231.0,0.0
3922966,2025-10-01,31,0,0.0,0.0,161.3,,,,2,,222.0,0.0
3922966,2026-05-01,31,0,0.0,0.0,169.0,,,,,,232.0,0.0
638586,2025-09-01,30,0,0.0,0.0,111.3,,,,30,,153.0,0.0
3922966,2026-01-01,31,0,0.0,0.0,170.1,,,,2,,234.0,0.0
638586,2026-04-01,30,0,0.0,0.0,109.6,,,,30,,151.0,0.0
638586,2026-03-01,31,0,0.0,0.0,109.6,,,,30,,151.0,0.0
3922966,2026-03-01,31,0,0.0,0.0,168.0,,,,2,,231.0,0.0
3922966,2026-06-01,30,0,0.0,0.0,169.0,,,,,,232.0,0.0
638586,2026-07-01,31,0,0.0,0.0,109.1,,,,,,150.0,0.0
3922966,2026-04-01,30,0,0.0,0.0,168.4,,,,,,231.0,0.0
638586,2026-02-01,28,0,0.0,0.0,108.4,,,,30,,149.0,0.0
638586,2025-11-01,30,0,0.0,0.0,107.4,,,,30,,148.0,0.0
638586,2026-05-01,31,0,0.0,0.0,111.6,,,,30,,153.0,0.0
638586,2026-06-01,30,0,0.0,0.0,111.4,,,,30,,153.0,0.0
3922966,2025-11-01,30,0,0.0,0.0,165.7,,,,2,,228.0,0.0
3922966,2026-02-01,28,0,0.0,0.0,168.0,,,,2,,231.0,0.0
638586,2026-01-01,31,0,0.0,0.0,107.8,,,,30,,148.0,0.0
638586,2025-12-01,31,0,0.0,0.0,107.6,,,,30,,148.0,0.0
638586,2026-08-01,31,0,0.0,0.0,109.8,,,,,,151.0,0.0
3922966,2025-12-01,31,0,0.0,0.0,167.9,,,,2,,231.0,0.0
959676,2026-04-01,30,0,0.0,0.0,77.3,,,,28,,106.0,0.0
4379539,2026-05-01,31,0,0.0,0.0,115.9,,,,3,,159.0,0.0
959676,2026-05-01,31,0,0.0,0.0,79.2,,,,28,,109.0,0.0
4379539,2026-02-01,28,0,0.0,0.0,112.8,,,,3,,155.0,0.0
959676,2025-10-01,31,0,0.0,0.0,79.1,,,,28,,109.0,0.0
959676,2026-01-01,31,0,0.0,0.0,76.5,,,,28,,105.0,0.0
4379539,2025-11-01,30,0,0.0,0.0,117.7,,,,3,,162.0,0.0
959676,2025-12-01,31,0,0.0,0.0,76.7,,,,28,,105.0,0.0
959676,2026-08-01,31,0,0.0,0.0,83.0,,,,28,,114.0,0.0
959676,2026-02-01,28,0,0.0,0.0,75.1,,,,28,,103.0,0.0
4379539,2026-01-01,31,0,0.0,0.0,112.5,,,,3,,155.0,0.0
959676,2026-07-01,31,0,0.0,0.0,83.3,,,,28,,114.0,0.0
959676,2025-11-01,30,0,0.0,0.0,78.6,,,,28,,108.0,0.0
4379539,2026-07-01,31,0,0.0,0.0,116.0,,,,3,,159.0,0.0
4379539,2026-06-01,30,0,0.0,0.0,115.6,,,,3,,159.0,0.0
959676,2025-09-01,3,27,0.9,2112.0,77.7,78.2,,,28,107.0,107.0,2901.0
4379539,2026-04-01,30,0,0.0,0.0,116.0,,,,3,,159.0,0.0
4379539,2025-10-01,31,0,0.0,0.0,122.0,,,,3,,168.0,0.0
4379539,2026-08-01,31,0,0.0,0.0,116.6,,,,3,,160.0,0.0
4379539,2025-12-01,31,0,0.0,0.0,115.4,,,,3,,159.0,0.0
4379539,2026-03-01,31,0,0.0,0.0,113.4,,,,3,,156.0,0.0
959676,2026-06-01,30,0,0.0,0.0,83.2,,,,28,,114.0,0.0
959676,2026-03-01,31,0,0.0,0.0,76.3,,,,28,,105.0,0.0
4379539,2025-09-01,2,28,0.933,3122.0,111.6,111.5,33,17,3,153.0,153.0,4289.0
4930281,2025-10-01,31,0,0.0,0.0,53.2,,,,1,,73.0,0.0
1162480,2025-11-01,30,0,0.0,0.0,102.8,,,,29,,141.0,0.0
