listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
26654,"World Class @ CN Tower, convention centre, Theatre",Entire condo,entire_home,https://a0.muscache.com/im/pictures/81811785/5dcd6dd9_original.jpg,44,113345,Adela,"","",true,43.6461,-79.3903,4,2,2,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Books and reading material,Portable fans,Pets allowed,Gym,Conditioner,Elevator,Outdoor furniture,Hot tub,Cleaning products,Heating,Paid parking on premises,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Rice maker,Bathtub,Blender,Babysitter recommendations,Room-darkening shades,Children’s dinnerware,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,Single level home,BBQ grill,Exercise equipment,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Toaster",false,28,Strict,CAD,61,0,45,4.8,4.8,4.7,4.8,4.8,4.9,4.7,14470.0,20013.0,107.6,150.1,0.351,0.357,39.6,54.8,40.3,55.7,128,6,237,365,2553.0,3507.0,108.6,149.2,0.278,0.0,28.4,39.0,0.0,0.0,25,0,65,90
27423,Executive Studio Unit- Ideal for One Person,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/176936/b687ed16_original.jpg,16,118124,Brent,"","",false,43.6688,-79.3273,1,,1,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Free street parking,Outdoor furniture,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",false,90,Flexible,CAD,0,0,31,4.93,5.0,5.0,4.9,5.0,4.9,4.9,1083.0,1506.0,36.1,50.8,0.082,0.0,3.0,4.1,0.0,0.0,30,0,335,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
40701,Bright Beaches loft close to Queen and the lake,Entire rental unit,entire_home,https://a0.muscache.com/im/ml/photo_enhancement/pictures/hosting/Hosting-40701/original/06cae31a-517d-427f-b2d1-044d75398627.jpeg,13,175687,John,"","",false,43.6724,-79.2886,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Paid parking off premises,Books and reading material,Ceiling fan,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Paid parking on premises,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Toaster",,28,Firm,CAD,35,35,10,4.6,4.7,4.6,4.2,4.6,4.9,4.4,9232.0,12735.0,58.2,81.2,0.405,0.622,25.3,34.9,38.8,53.5,148,127,217,365,758.0,1040.0,55.8,76.6,0.156,0.197,8.4,11.6,10.7,14.6,14,19,76,90
45399,Fountain View Studio - Eaton center,Entire condo,entire_home,https://a0.muscache.com/im/pictures/5e2bfbce-c070-4597-a5ba-e7fb4ff8d9e4.jpg,52,195095,Urbano,"","",false,43.6612,-79.3834,3,,1,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Gym,Elevator,Bed linens,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Washer,Dryer,Single level home,Smoke alarm,Carbon monoxide alarm,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Toaster,Bathtub",false,28,Firm,CAD,75,0,89,4.17,4.5,4.6,4.0,4.7,4.9,4.2,1325.0,1917.0,99.4,139.0,0.036,0.062,3.6,5.3,6.4,9.2,13,157,352,365,0.0,0.0,77.1,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
45893,Yonge & Bloor Lakeview Master BR,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/29580691/baacb208_original.jpg,46,195095,Urbano,"","",false,43.6718,-79.3849,1,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Elevator,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",false,28,Firm,CAD,65,0,24,4.4,4.3,4.5,4.0,4.8,4.9,4.2,2053.0,2764.0,65.3,91.3,0.079,0.372,5.6,7.6,26.3,35.4,29,287,336,365,0.0,0.0,57.6,79.1,0.0,0.0,0.0,0.0,0.0,0.0,0,75,90,90
50110,Yorkville one bedroom Condo,Entire condo,entire_home,https://a0.muscache.com/im/pictures/6329076e-ea60-4800-95a5-e88098c3110a.jpg,64,195095,Urbano,"","",false,43.6690,-79.3856,3,1,1,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Hot water,Gym,Elevator,Bed linens,Outdoor furniture,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Dryer,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Essentials,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Toaster,Rice maker,Bathtub",false,28,Firm,CAD,100,0,61,4.63,4.8,4.8,4.4,4.9,4.9,4.5,4552.0,6158.0,115.4,161.4,0.107,0.317,12.5,16.9,37.0,50.1,39,242,326,365,743.0,1022.0,82.4,113.2,0.111,0.208,8.3,11.4,15.5,21.3,10,42,80,90
64635,Furnished Heritage Rooms Downtown 2,Private room in home,private_room,https://a0.muscache.com/im/pictures/2927902/d89d36a0_original.jpg,15,304551,Kintoo,"","",false,43.6448,-79.4090,,,1,0.0,false,"Washer,Dryer,Smoke alarm,Wifi,Air conditioning,Kitchen,Long term stays allowed,Lock on bedroom door,Ceiling fan,Heating",false,120,Strict,CAD,29,0,18,4.61,4.7,4.9,4.3,4.7,4.9,4.4,483.0,654.0,35.7,49.9,0.036,0.14,1.3,1.8,5.2,7.0,13,272,352,365,0.0,0.0,34.2,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0,43,90,90
64641,Furnished Heritage Rooms Downtown,Private room in home,private_room,https://a0.muscache.com/im/pictures/9d1ab011-f464-449e-926f-6204bba23a75.jpg,20,304551,Kintoo,"","",false,43.6445,-79.4074,,,1,0.0,false,"Washer,Dryer,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Fire extinguisher,Kitchen,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Hot water,Iron,Bed linens,Heating",false,120,Strict,CAD,0,0,26,4.8,4.7,4.9,4.5,4.9,4.8,4.6,4195.0,5945.0,35.3,49.3,0.329,0.789,11.5,16.3,27.6,39.1,120,213,245,365,0.0,0.0,34.8,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
64645,Furnished Downtown Suite with Private Washroom,Private room in home,private_room,https://a0.muscache.com/im/pictures/399022/44ea6c33_original.jpg,16,304551,Kintoo,"","",true,43.6448,-79.4091,1,1,,1.0,false,"Washer,Dryer,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Kitchen,Indoor fireplace,Hot water,Heating",false,90,Strict,CAD,0,0,16,4.79,4.9,4.6,4.8,4.9,4.9,4.5,3321.0,4760.0,40.9,57.1,0.225,0.268,9.1,13.0,10.9,15.6,82,59,283,365,0.0,0.0,38.1,52.3,0.0,0.0,0.0,0.0,0.0,0.0,0,28,90,90
66856,Furnished Downtown Room,Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-66856/original/e3dc40d3-a070-4c67-a53d-2d4c49da4304.jpeg,14,304551,Kintoo,"","",false,43.6464,-79.4074,,,1,0.0,false,"TV,Washer,Cable TV,Dryer,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Fire extinguisher,Kitchen,Lock on bedroom door,Heating",,120,Strict,CAD,176,,5,5.0,5.0,5.0,5.0,5.0,5.0,4.8,2103.0,2848.0,30.3,42.3,0.173,0.333,5.8,7.8,11.1,15.1,63,176,302,365,0.0,0.0,21.3,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
