listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
5855569,2024-10-01,31,0,0.0,0.0,148.7,,,,,,201.0,0.0
2997407,2024-11-01,4,26,0.867,6110.0,235.2,235.0,33,26,,328.0,329.0,8539.0
5855569,2025-02-01,22,6,0.214,647.0,118.2,107.8,1,6,14,157.0,172.0,941.0
2997407,2024-12-01,25,6,0.194,1565.0,241.0,260.8,114,6,,365.0,338.0,2193.0
2997407,2024-09-01,0,30,1.0,7161.0,238.7,238.7,,,,322.0,322.0,9661.0
5855569,2025-05-01,31,0,0.0,0.0,77.0,,,,120,,107.0,0.0
5855569,2025-07-01,25,6,0.194,549.0,90.4,91.5,1,6,120,126.0,124.0,754.0
5855569,2024-12-01,31,0,0.0,0.0,149.2,,,,,,209.0,0.0
5855569,2025-03-01,31,0,0.0,0.0,118.8,,,,14,,172.0,0.0
2997407,2025-01-01,31,0,0.0,0.0,214.2,,,,28,,308.0,0.0
5855569,2025-04-01,30,0,0.0,0.0,91.7,,,,59,,131.0,0.0
2997407,2025-08-01,31,0,0.0,0.0,278.9,,,,28,,383.0,0.0
2997407,2025-05-01,4,27,0.871,9542.0,348.0,353.4,21,31,28,489.0,482.0,13213.0
2997407,2025-03-01,0,31,1.0,5702.0,183.9,183.9,16,42,28,266.0,266.0,8249.0
5855569,2024-09-01,27,3,0.1,439.0,146.5,146.3,,,,197.0,198.0,592.0
5855569,2024-11-01,30,0,0.0,0.0,148.0,,,,,,207.0,0.0
2997407,2025-07-01,26,5,0.161,1901.0,376.5,380.2,,,28,522.0,517.0,2611.0
2997407,2025-02-01,26,2,0.071,312.0,178.5,156.0,150,2,28,227.0,260.0,454.0
5855569,2025-01-01,25,6,0.194,711.0,132.2,118.5,1,6,14,170.0,190.0,1022.0
2997407,2025-04-01,11,19,0.633,4328.0,245.7,227.8,3,8,28,326.0,351.0,6186.0
5855569,2025-08-01,19,12,0.387,1165.0,81.2,97.1,1,165,120,133.0,112.0,1600.0
5855569,2025-06-01,24,6,0.2,529.0,72.0,88.2,1,6,120,121.0,99.0,727.0
2997407,2025-06-01,13,17,0.567,6451.0,392.8,379.5,35,18,28,521.0,540.0,8861.0
