id,host_id,name,description,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,minimum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,month,price_per_person,log_price,log_price_per_person,total_reviews
10246357,36356046,Bright & New Room - Queen West St.,"Enjoy Toronto in one of the most fun neighbourhoods: Queen West, Trinity Bellwoods Park! Walking distance to Toronto downtown core and view on the CN tower.  The room is on the 3rd floor of an old Victorian home that is newly renovated. Unlimited wifi internet.  The room can be locked for safety and privacy. You have access to an equipped kitchen on the second floor.  There are 4 bedrooms in the house and 2 bathrooms. The house is a shared space for single guests/roommates.",1,Trinity-Bellwoods,43.64732,-79.40889,Private room in home,Private room,1,1.0,1,1,"air conditioning, bed linens, carbon monoxide alarm, cooking basics, dedicated workspace, dishes and silverware, dryer, essentials, fire extinguisher, first aid kit, hair dryer, hangers, heating, hot water, iron, keypad, kitchen, lock on bedroom door, long term stays allowed, microwave, oven, paid parking off premises, refrigerator, self check-in, shampoo, smoke alarm, stove, washer, wifi",28,4.89,4.93,4.97,4.99,4.98,4.9,4.75,70.0,10,70.0,4.2626798770413155,4.2626798770413155,97
54330002,5919667,Central Located 1bedroom Condo @Dundas Square,"Enjoy a great experience at this centrally located place. Step to Dundas Square , Eaton Centre, and all kinds of restaurants. Closed to TTC Subway stations, Ryerson University, University of Toronto, and many more.",0,Church-Yonge Corridor,43.65829899500289,-79.3751543844324,Entire condo,Entire home/apt,2,1.0,1,1,"bathtub, bed linens, bidet, carbon monoxide alarm, central air conditioning, central heating, city skyline view, cleaning products, clothing storage: closet, coffee, coffee maker, conditioner, cooking basics, dedicated workspace, dining table, dishes and silverware, dishwasher, elevator, essentials, ev charger, extra pillows and blankets, first aid kit, free dryer  in unit, free washer  in unit, freezer, hair dryer, hangers, hdtv with amazon prime video, apple tv, standard cable, netflix, host greets you, hot water, hot water kettle, iron, kitchen, long term stays allowed, microwave, mosquito net, na body soap, outdoor furniture, paid parking lot off premises, paid parking on premises, private patio or balcony, refrigerator, room-darkening shades, samsung bluetooth sound system, shared outdoor pool - available seasonally, open specific hours, rooftop, smoke alarm, stainless steel electric stove, stainless steel oven, toaster, wifi, wine glasses",30,4.88,4.75,5.0,4.88,4.63,4.75,4.5,180.0,10,90.0,5.198497031265826,4.51085950651685,11
10246357,36356046,Bright & New Room - Queen West St.,"Enjoy Toronto in one of the most fun neighbourhoods: Queen West, Trinity Bellwoods Park! Walking distance to Toronto downtown core and view on the CN tower.  The room is on the 3rd floor of an old Victorian home that is newly renovated. Unlimited wifi internet.  The room can be locked for safety and privacy. You have access to an equipped kitchen on the second floor.  There are 4 bedrooms in the house and 2 bathrooms. The house is a shared space for single guests/roommates.",1,Trinity-Bellwoods,43.64732,-79.40889,Private room in home,Private room,1,1.0,1,1,"air conditioning, bed linens, carbon monoxide alarm, cooking basics, dedicated workspace, dishes and silverware, dryer, essentials, fire extinguisher, first aid kit, hair dryer, hangers, heating, hot water, iron, keypad, kitchen, lock on bedroom door, long term stays allowed, microwave, oven, paid parking off premises, refrigerator, self check-in, shampoo, smoke alarm, stove, washer, wifi",28,4.89,4.93,4.97,4.99,4.98,4.9,4.75,70.0,11,70.0,4.2626798770413155,4.2626798770413155,97
10246357,36356046,Bright & New Room - Queen West St.,"Enjoy Toronto in one of the most fun neighbourhoods: Queen West, Trinity Bellwoods Park! Walking distance to Toronto downtown core and view on the CN tower.  The room is on the 3rd floor of an old Victorian home that is newly renovated. Unlimited wifi internet.  The room can be locked for safety and privacy. You have access to an equipped kitchen on the second floor.  There are 4 bedrooms in the house and 2 bathrooms. The house is a shared space for single guests/roommates.",1,Trinity-Bellwoods,43.64732,-79.40889,Private room in home,Private room,1,1.0,1,1,"air conditioning, bed linens, carbon monoxide alarm, cooking basics, dedicated workspace, dishes and silverware, dryer, essentials, fire extinguisher, first aid kit, hair dryer, hangers, heating, hot water, iron, keypad, kitchen, lock on bedroom door, long term stays allowed, microwave, oven, paid parking off premises, refrigerator, self check-in, shampoo, smoke alarm, stove, washer, wifi",28,4.89,4.93,4.97,4.99,4.98,4.9,4.75,70.0,12,70.0,4.2626798770413155,4.2626798770413155,97
54330002,5919667,Central Located 1bedroom Condo @Dundas Square,"Enjoy a great experience at this centrally located place. Step to Dundas Square , Eaton Centre, and all kinds of restaurants. Closed to TTC Subway stations, Ryerson University, University of Toronto, and many more.",0,Church-Yonge Corridor,43.65829899500289,-79.3751543844324,Entire condo,Entire home/apt,2,1.0,1,1,"bathtub, bed linens, bidet, carbon monoxide alarm, central air conditioning, central heating, city skyline view, cleaning products, clothing storage: closet, coffee, coffee maker, conditioner, cooking basics, dedicated workspace, dining table, dishes and silverware, dishwasher, elevator, essentials, ev charger, extra pillows and blankets, first aid kit, free dryer  in unit, free washer  in unit, freezer, hair dryer, hangers, hdtv with amazon prime video, apple tv, standard cable, netflix, host greets you, hot water, hot water kettle, iron, kitchen, long term stays allowed, microwave, mosquito net, na body soap, outdoor furniture, paid parking lot off premises, paid parking on premises, private patio or balcony, refrigerator, room-darkening shades, samsung bluetooth sound system, shared outdoor pool - available seasonally, open specific hours, rooftop, smoke alarm, stainless steel electric stove, stainless steel oven, toaster, wifi, wine glasses",30,4.88,4.75,5.0,4.88,4.63,4.75,4.5,180.0,12,90.0,5.198497031265826,4.51085950651685,11
10246357,36356046,Bright & New Room - Queen West St.,"Enjoy Toronto in one of the most fun neighbourhoods: Queen West, Trinity Bellwoods Park! Walking distance to Toronto downtown core and view on the CN tower.  The room is on the 3rd floor of an old Victorian home that is newly renovated. Unlimited wifi internet.  The room can be locked for safety and privacy. You have access to an equipped kitchen on the second floor.  There are 4 bedrooms in the house and 2 bathrooms. The house is a shared space for single guests/roommates.",1,Trinity-Bellwoods,43.64732,-79.40889,Private room in home,Private room,1,1.0,1,1,"air conditioning, bed linens, carbon monoxide alarm, cooking basics, dedicated workspace, dishes and silverware, dryer, essentials, fire extinguisher, first aid kit, hair dryer, hangers, heating, hot water, iron, keypad, kitchen, lock on bedroom door, long term stays allowed, microwave, oven, paid parking off premises, refrigerator, self check-in, shampoo, smoke alarm, stove, washer, wifi",28,4.89,4.93,4.96,4.99,4.98,4.9,4.76,70.0,1,70.0,4.2626798770413155,4.2626798770413155,97
54330002,5919667,Central Located 1bedroom Condo @Dundas Square,"Enjoy a great experience at this centrally located place. Step to Dundas Square , Eaton Centre, and all kinds of restaurants. Closed to TTC Subway stations, Ryerson University, University of Toronto, and many more.",0,Church-Yonge Corridor,43.65829899500289,-79.3751543844324,Entire condo,Entire home/apt,2,1.0,1,1,"bathtub, bed linens, bidet, carbon monoxide alarm, central air conditioning, central heating, city skyline view, cleaning products, clothing storage: closet, coffee, coffee maker, conditioner, cooking basics, dedicated workspace, dining table, dishes and silverware, dishwasher, elevator, essentials, ev charger, extra pillows and blankets, first aid kit, free dryer  in unit, free washer  in unit, freezer, hair dryer, hangers, hdtv with amazon prime video, apple tv, standard cable, netflix, host greets you, hot water, hot water kettle, iron, kitchen, long term stays allowed, microwave, mosquito net, na body soap, outdoor furniture, paid parking lot off premises, paid parking on premises, private patio or balcony, refrigerator, room-darkening shades, samsung bluetooth sound system, shared outdoor pool - available seasonally, open specific hours, rooftop, smoke alarm, stainless steel electric stove, stainless steel oven, toaster, wifi, wine glasses",30,4.88,4.75,5.0,4.88,4.63,4.75,4.5,180.0,1,90.0,5.198497031265826,4.51085950651685,11
10246357,36356046,Bright & New Room - Queen West St.,"Enjoy Toronto in one of the most fun neighbourhoods: Queen West, Trinity Bellwoods Park! Walking distance to Toronto downtown core and view on the CN tower.  The room is on the 3rd floor of an old Victorian home that is newly renovated. Unlimited wifi internet.  The room can be locked for safety and privacy. You have access to an equipped kitchen on the second floor.  There are 4 bedrooms in the house and 2 bathrooms. The house is a shared space for single guests/roommates.",1,Trinity-Bellwoods,43.64732,-79.40889,Private room in home,Private room,1,1.0,1,1,"air conditioning, bed linens, carbon monoxide alarm, cooking basics, dedicated workspace, dishes and silverware, dryer, essentials, fire extinguisher, first aid kit, hair dryer, hangers, heating, hot water, iron, keypad, kitchen, lock on bedroom door, long term stays allowed, microwave, oven, paid parking off premises, refrigerator, self check-in, shampoo, smoke alarm, stove, washer, wifi",28,4.89,4.93,4.96,4.99,4.98,4.9,4.76,70.0,2,70.0,4.2626798770413155,4.2626798770413155,97
10246357,36356046,Bright & New Room - Queen West St.,"Enjoy Toronto in one of the most fun neighbourhoods: Queen West, Trinity Bellwoods Park! Walking distance to Toronto downtown core and view on the CN tower.  The room is on the 3rd floor of an old Victorian home that is newly renovated. Unlimited wifi internet.  The room can be locked for safety and privacy. You have access to an equipped kitchen on the second floor.  There are 4 bedrooms in the house and 2 bathrooms. The house is a shared space for single guests/roommates.",1,Trinity-Bellwoods,43.64732,-79.40889,Private room in home,Private room,1,1.0,1,1,"air conditioning, bed linens, carbon monoxide alarm, cooking basics, dedicated workspace, dishes and silverware, dryer, essentials, fire extinguisher, first aid kit, hair dryer, hangers, heating, hot water, iron, keypad, kitchen, lock on bedroom door, long term stays allowed, microwave, oven, paid parking off premises, refrigerator, self check-in, shampoo, smoke alarm, stove, washer, wifi",28,4.89,4.93,4.96,4.99,4.98,4.9,4.76,70.0,3,70.0,4.2626798770413155,4.2626798770413155,97
10246357,36356046,Bright & New Room - Queen West St.,"Enjoy Toronto in one of the most fun neighbourhoods: Queen West, Trinity Bellwoods Park! Walking distance to Toronto downtown core and view on the CN tower.  The room is on the 3rd floor of an old Victorian home that is newly renovated. Unlimited wifi internet.  The room can be locked for safety and privacy. You have access to an equipped kitchen on the second floor.  There are 4 bedrooms in the house and 2 bathrooms. The house is a shared space for single guests/roommates.",1,Trinity-Bellwoods,43.64732,-79.40889,Private room in home,Private room,1,1.0,1,1,"air conditioning, bed linens, carbon monoxide alarm, cooking basics, dedicated workspace, dishes and silverware, dryer, essentials, fire extinguisher, first aid kit, hair dryer, hangers, heating, hot water, iron, keypad, kitchen, lock on bedroom door, long term stays allowed, microwave, oven, paid parking off premises, refrigerator, self check-in, shampoo, smoke alarm, stove, washer, wifi",28,4.88,4.93,4.96,4.99,4.98,4.9,4.75,70.0,4,70.0,4.2626798770413155,4.2626798770413155,97
