feature,importance
accommodates,0.6181524294370808
bedrooms,0.11041304813154397
review_scores_rating,0.0536452387757103
bathrooms,0.01650720859403298
beds,0.014091119797057952
neighbourhood_cleansed_Waterfront Communities-The Island,0.011288447450380637
room_type_Entire home/apt,0.009208425514570427
property_type_Entire rental unit,0.005723577570606734
neighbourhood_cleansed_York University Heights,0.004587376375221126
neighbourhood_cleansed_L'Amoreaux,0.004419336627320304
neighbourhood_cleansed_Glenfield-Jane Heights,0.004323565964009652
neighbourhood_cleansed_Kensington-Chinatown,0.004321310963715111
neighbourhood_cleansed_The Beaches,0.00418385492333263
property_type_Entire condo,0.004088365334353806
property_type_Entire home,0.0036991361748814158
neighbourhood_cleansed_Annex,0.0035932549958771027
neighbourhood_cleansed_Birchcliffe-Cliffside,0.0035266119817065956
neighbourhood_cleansed_Steeles,0.0033195813283095664
property_type_Private room in home,0.002995558960409852
neighbourhood_cleansed_South Riverdale,0.002893052398029814
neighbourhood_cleansed_Dovercourt-Wallace Emerson-Junction,0.002691590103405825
neighbourhood_cleansed_Bridle Path-Sunnybrook-York Mills,0.002538235843037852
neighbourhood_cleansed_Niagara,0.002524886785687568
neighbourhood_cleansed_Pleasant View,0.002418439200724993
property_type_Entire guest suite,0.002326025336031438
neighbourhood_cleansed_West Humber-Clairville,0.0023021060633259464
neighbourhood_cleansed_Moss Park,0.0021779212234329555
neighbourhood_cleansed_Regent Park,0.0021605691875863963
neighbourhood_cleansed_Church-Yonge Corridor,0.001970075412217518
neighbourhood_cleansed_High Park-Swansea,0.0019659030757238883
neighbourhood_cleansed_Bay Street Corridor,0.0018978039870868376
neighbourhood_cleansed_Trinity-Bellwoods,0.0018202230207100252
property_type_Entire townhouse,0.0017783200181652574
neighbourhood_cleansed_Banbury-Don Mills,0.0017766962948084664
neighbourhood_cleansed_Little Portugal,0.001764568839752076
neighbourhood_cleansed_Briar Hill-Belgravia,0.0017294631513333507
neighbourhood_cleansed_Tam O'Shanter-Sullivan,0.0016683555048581762
neighbourhood_cleansed_Newtonbrook West,0.0016667322412262898
neighbourhood_cleansed_Clanton Park,0.001602829426018881
neighbourhood_cleansed_Malvern,0.0015952566707148573
neighbourhood_cleansed_Palmerston-Little Italy,0.0014337927310946214
neighbourhood_cleansed_Ionview,0.0014128968504745745
neighbourhood_cleansed_Islington-City Centre West,0.001369346294041227
neighbourhood_cleansed_Rouge,0.001347761246434522
neighbourhood_cleansed_Mimico (includes Humber Bay Shores),0.0013397961395926403
neighbourhood_cleansed_Forest Hill South,0.001320043077092344
property_type_Private room in rental unit,0.0012696917163199052
neighbourhood_cleansed_Oakwood Village,0.0012516593082853862
neighbourhood_cleansed_Weston-Pellam Park,0.0011960711220755204
room_type_Private room,0.0011581609499139683
neighbourhood_cleansed_Wychwood,0.0011343667217170092
neighbourhood_cleansed_Bedford Park-Nortown,0.0011227962200785321
neighbourhood_cleansed_Mount Pleasant East,0.0011141071724505513
neighbourhood_cleansed_Dufferin Grove,0.0011096521276338246
neighbourhood_cleansed_Princess-Rosethorn,0.0011053832946992669
neighbourhood_cleansed_Eringate-Centennial-West Deane,0.001097006753819712
neighbourhood_cleansed_Bayview Woods-Steeles,0.001076654750090063
neighbourhood_cleansed_Black Creek,0.0010680349676420043
neighbourhood_cleansed_Corso Italia-Davenport,0.0010536535430626624
neighbourhood_cleansed_Weston,0.0010212622558669546
neighbourhood_cleansed_Junction Area,0.0010201053823360217
neighbourhood_cleansed_East End-Danforth,0.0009954592273428778
neighbourhood_cleansed_Willowdale East,0.0009576002684040595
neighbourhood_cleansed_Don Valley Village,0.0009564291043768288
property_type_Entire loft,0.0009411834408391901
neighbourhood_cleansed_Eglinton East,0.000933900416654726
neighbourhood_cleansed_Scarborough Village,0.0009303922446734862
neighbourhood_cleansed_Roncesvalles,0.0009267153149832191
neighbourhood_cleansed_Greenwood-Coxwell,0.0008953633575307617
neighbourhood_cleansed_Old East York,0.000892868570201169
neighbourhood_cleansed_High Park North,0.0008886302435906742
neighbourhood_cleansed_Casa Loma,0.0008806248539889037
neighbourhood_cleansed_Lambton Baby Point,0.0008684759415126281
neighbourhood_cleansed_Wexford/Maryvale,0.0008663516932688183
property_type_Private room in townhouse,0.0008388974485928067
