id,host_id,name,description,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,minimum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,month,price_per_person,log_price,log_price_per_person,total_reviews
900223711914667823,37853441,Comfortable Room with Private Entrance in Dallas,"Welcome to our private room nestled in the heart of Dallas' historic district. Ideal for solo travelers or couples, this bedroom offers a private entrance, a comfortable bed, and access to a shared bath. The historic ambiance of the neighborhood adds to the allure of your stay, you'll have the opportunity to explore the rich cultural heritage that surrounds you. Take a leisurely stroll through the tree-lined streets, visit local cafes, immerse yourself in the vibrant arts scene nearby.",0,District 2,32.7927,-96.7739,Private room in rental unit,Private room,1,1.0,1,1,"ac - split type ductless system, backyard, carbon monoxide alarm, coffee maker, cooking basics, dedicated workspace, dishes and silverware, dryer, essentials, exterior security cameras on property, fire extinguisher, first aid kit, free parking on premises, hair dryer, hangers, heating, hot water, iron, kitchen, lock on bedroom door, long term stays allowed, luggage dropoff allowed, patio or balcony, refrigerator, self check-in, shampoo, smart lock, smoke alarm, tv, washer, wifi",2,4.29,4.59,4.06,4.71,4.65,4.29,4.29,43.0,10,43.0,3.784189633918261,3.784189633918261,22
1255267624759376144,577243313,2 comfy beds & nice views,"This special place is close to everything, making it easy to plan your visit. Enjoy the skyline city views from 2 different patios.  Minutes from Fair Park. 2 comfortable twin xl size beds. Only 1 bedroom will be rented at a time for added peace & comfort (unless same guest wants to rent both rooms. = discount)",0,District 7,32.77049,-96.7746,Private room in home,Private room,2,1.0,1,2,"air conditioning, carbon monoxide alarm, exterior security cameras on property, fire extinguisher, free dryer  in unit, free parking on premises, hangers, iron, kitchen, lock on bedroom door, smoke alarm, tv, washer, wifi",2,5.0,5.0,5.0,5.0,5.0,4.0,5.0,85.0,10,42.5,4.454347296253507,3.7727609380946383,2
900223711914667823,37853441,Comfortable Room with Private Entrance in Dallas,"Welcome to our private room nestled in the heart of Dallas' historic district. Ideal for solo travelers or couples, this bedroom offers a private entrance, a comfortable bed, and access to a shared bath. The historic ambiance of the neighborhood adds to the allure of your stay, you'll have the opportunity to explore the rich cultural heritage that surrounds you. Take a leisurely stroll through the tree-lined streets, visit local cafes, immerse yourself in the vibrant arts scene nearby.",0,District 2,32.79275,-96.77528,Private room in rental unit,Private room,1,1.0,1,1,"ac - split type ductless system, backyard, carbon monoxide alarm, coffee maker, cooking basics, dedicated workspace, dishes and silverware, dryer, essentials, exterior security cameras on property, fire extinguisher, first aid kit, free parking on premises, hair dryer, hangers, heating, hot water, iron, kitchen, lock on bedroom door, long term stays allowed, luggage dropoff allowed, patio or balcony, refrigerator, self check-in, shampoo, smart lock, smoke alarm, tv, washer, wifi",2,4.28,4.61,4.11,4.72,4.67,4.33,4.28,41.0,11,41.0,3.7376696182833684,3.7376696182833684,22
1255267624759376144,577243313,Enjoy 2 comfortable beds in a hidden gem!,"This special place is close to everything, making it easy to plan your visit. Enjoy the skyline city views from 2 different patios.  Minutes from Fair Park. 2 comfortable twin xl size beds. Only 1 bedroom will be rented at a time for added peace & comfort (unless same guest wants to rent both rooms. = discount)",0,District 7,32.76872,-96.77337,Private room in home,Private room,2,1.0,1,2,"air conditioning, carbon monoxide alarm, exterior security cameras on property, fire extinguisher, free dryer  in unit, free parking on premises, hangers, iron, kitchen, lock on bedroom door, smoke alarm, tv, washer, wifi",1,5.0,5.0,5.0,5.0,5.0,4.0,5.0,60.0,11,30.0,4.110873864173311,3.4339872044851463,2
900223711914667823,37853441,Comfortable Room with Private Entrance in Dallas,"Welcome to our private room nestled in the heart of Dallas' historic district. Ideal for solo travelers or couples, this bedroom offers a private entrance, a comfortable bed, and access to a shared bath. The historic ambiance of the neighborhood adds to the allure of your stay, you'll have the opportunity to explore the rich cultural heritage that surrounds you. Take a leisurely stroll through the tree-lined streets, visit local cafes, immerse yourself in the vibrant arts scene nearby.",0,District 2,32.79275,-96.77528,Private room in rental unit,Private room,1,1.0,1,1,"ac - split type ductless system, backyard, carbon monoxide alarm, coffee maker, cooking basics, dedicated workspace, dishes and silverware, dryer, essentials, exterior security cameras on property, fire extinguisher, first aid kit, free parking on premises, hair dryer, hangers, heating, hot water, iron, kitchen, lock on bedroom door, long term stays allowed, luggage dropoff allowed, patio or balcony, refrigerator, self check-in, shampoo, smart lock, smoke alarm, tv, washer, wifi",3,4.32,4.63,4.16,4.74,4.68,4.37,4.32,43.0,12,43.0,3.784189633918261,3.784189633918261,22
1255267624759376144,577243313,Enjoy 2 comfortable beds in a hidden gem!,"This special place is close to everything, making it easy to plan your visit. Enjoy the skyline city views from 2 different patios.  Minutes from Fair Park. 2 comfortable twin xl size beds. Only 1 bedroom will be rented at a time for added peace & comfort (unless same guest wants to rent both rooms. = discount)",0,District 7,32.76872,-96.77337,Private room in home,Private room,2,1.0,1,2,"air conditioning, carbon monoxide alarm, exterior security cameras on property, fire extinguisher, free dryer  in unit, free parking on premises, hangers, iron, kitchen, lock on bedroom door, smoke alarm, tv, washer, wifi",1,5.0,5.0,4.5,5.0,5.0,4.5,5.0,85.0,12,42.5,4.454347296253507,3.7727609380946383,2
900223711914667823,37853441,Comfortable Room with Private Entrance in Dallas,"Welcome to our private room nestled in the heart of Dallas' historic district. Ideal for solo travelers or couples, this bedroom offers a private entrance, a comfortable bed, and access to a shared bath. The historic ambiance of the neighborhood adds to the allure of your stay, you'll have the opportunity to explore the rich cultural heritage that surrounds you. Take a leisurely stroll through the tree-lined streets, visit local cafes, immerse yourself in the vibrant arts scene nearby.",0,District 2,32.7927,-96.7739,Private room in rental unit,Private room,1,1.0,1,1,"ac - split type ductless system, backyard, carbon monoxide alarm, coffee maker, cooking basics, dedicated workspace, dishes and silverware, dryer, essentials, exterior security cameras on property, fire extinguisher, first aid kit, free parking on premises, hair dryer, hangers, heating, hot water, iron, kitchen, lock on bedroom door, long term stays allowed, luggage dropoff allowed, patio or balcony, refrigerator, self check-in, shampoo, smart lock, smoke alarm, tv, washer, wifi",3,4.3,4.6,4.1,4.75,4.7,4.4,4.35,45.0,1,45.0,3.828641396489095,3.828641396489095,22
1255267624759376144,577243313,Enjoy 2 comfortable beds in a hidden gem!,"-Guest must be at least 25 yrs old & have a positive review. This special place is close to everything, making it easy to plan your visit. Enjoy the skyline city views from 2 different patios.  Minutes from Fair Park. 2 comfortable twin xl size beds. Only 1 bedroom will be rented at a time for added peace & comfort (unless same guest wants to rent both rooms. = discount)",0,District 7,32.77049,-96.7746,Private room in home,Private room,2,1.0,1,2,"air conditioning, carbon monoxide alarm, exterior security cameras on property, fire extinguisher, free dryer  in unit, free parking on premises, hangers, iron, kitchen, lock on bedroom door, smoke alarm, tv, washer, wifi",1,5.0,5.0,4.5,5.0,5.0,4.5,5.0,80.0,1,40.0,4.394449154672439,3.713572066704308,2
900223711914667823,37853441,Comfortable Room with Private Entrance in Dallas,"Welcome to our private room nestled in the heart of Dallas' historic district. Ideal for solo travelers or couples, this bedroom offers a private entrance, a comfortable bed, and access to a shared bath. The historic ambiance of the neighborhood adds to the allure of your stay, you'll have the opportunity to explore the rich cultural heritage that surrounds you. Take a leisurely stroll through the tree-lined streets, visit local cafes, immerse yourself in the vibrant arts scene nearby.",0,District 2,32.7927,-96.7739,Private room in rental unit,Private room,1,1.0,1,1,"ac - split type ductless system, backyard, carbon monoxide alarm, coffee maker, cooking basics, dedicated workspace, dishes and silverware, dryer, essentials, exterior security cameras on property, fire extinguisher, first aid kit, free parking on premises, hair dryer, hangers, heating, hot water, iron, kitchen, lock on bedroom door, long term stays allowed, luggage dropoff allowed, patio or balcony, refrigerator, self check-in, shampoo, smart lock, smoke alarm, tv, washer, wifi",3,4.3,4.6,4.1,4.75,4.7,4.4,4.35,32.0,2,32.0,3.4965075614664802,3.4965075614664802,22
1255267624759376144,577243313,Enjoy 2 comfortable beds in a hidden gem!,"-Guest must be at least 25 yrs old & have a positive review. This special place is close to everything, making it easy to plan your visit. Enjoy the skyline city views from 2 different patios.  Minutes from Fair Park. 2 comfortable twin xl size beds. Only 1 bedroom will be rented at a time for added peace & comfort (unless same guest wants to rent both rooms. = discount)",0,District 7,32.77049,-96.7746,Private room in home,Private room,2,1.0,1,2,"air conditioning, carbon monoxide alarm, exterior security cameras on property, fire extinguisher, free dryer  in unit, free parking on premises, hangers, iron, kitchen, lock on bedroom door, smoke alarm, tv, washer, wifi",1,5.0,5.0,4.5,5.0,5.0,4.5,5.0,99.0,2,49.5,4.605170185988092,3.9219733362813143,2
