listing_id,date,num_reviews,reviewers
255601,2025-08-01,1,45314700
33009,2024-12-01,1,5887846
255601,2025-01-01,2,"105167634,519241428"
255601,2025-04-01,4,"8884508,10218068,57554338,598010051"
255601,2024-09-01,2,"7757347,91072689"
255601,2024-12-01,3,"43604354,18461922,243131679"
255601,2024-10-01,5,"16691840,370977900,324775537,5464576,124769478"
310325,2024-10-01,1,145957399
255601,2024-11-01,1,17007739
255601,2025-06-01,1,63248057
310325,2025-03-01,1,315289692
54544,2025-01-01,1,662379979
255601,2025-03-01,2,"8931279,104754016"
255601,2025-05-01,2,"472531053,117703511"
33009,2025-03-01,1,33750434
255601,2025-07-01,4,"9635710,430162172,121758486,28623096"
825129,2025-01-01,1,401049951
938022,2024-10-01,1,27239866
227495,2025-01-01,1,662992491
777327,2025-05-01,1,318767564
437352,2025-07-01,1,207566840
938022,2025-07-01,2,"256242229,32572910"
838070,2025-03-01,1,357336426
578267,2024-09-01,1,458595267
825129,2025-07-01,1,130498199
227495,2024-11-01,1,2157740
777327,2025-04-01,1,111795330
938022,2024-11-01,1,552662679
938022,2025-06-01,1,8248240
227495,2025-06-01,1,19800417
825129,2025-02-01,1,495618551
227495,2025-05-01,1,5281816
938022,2024-09-01,1,26018365
825129,2025-05-01,1,652703365
606269,2024-10-01,1,124639474
45936,2025-07-01,2,"157086710,241909969"
748118,2025-05-01,2,"7833046,108611928"
852632,2024-12-01,1,590502455
896535,2025-06-01,1,68491612
606269,2025-05-01,1,9429539
71366,2024-11-01,1,30213296
896535,2025-08-01,1,183457001
748118,2025-03-01,1,221751391
606269,2024-12-01,1,373440742
54860,2025-06-01,1,457000608
876355,2024-11-01,1,3406913
249704,2024-12-01,1,17047884
249704,2025-05-01,1,584266911
606269,2025-03-01,1,399239734
71366,2024-10-01,1,65966050
45936,2025-04-01,1,71331092
896535,2024-11-01,1,149396561
606269,2025-07-01,1,9189690
896535,2025-04-01,1,57074934
295998,2025-04-01,1,11575490
288726,2024-12-01,1,255766968
295998,2024-10-01,1,211126917
322037,2024-12-01,1,63164928
188803,2024-10-01,2,"11302228,120322010"
150804,2024-10-01,5,"107008142,8221325,292522489,353685,412865862"
753687,2025-05-01,2,"91100545,15186630"
753687,2025-06-01,1,346950191
753687,2025-04-01,2,"456557479,25327424"
945297,2025-04-01,1,480914977
753687,2024-09-01,2,"160674952,24330684"
753687,2024-12-01,2,"456557479,598824315"
188803,2024-12-01,6,"419645809,2302257,23872050,589163971,134914969,73462089"
844319,2025-01-01,1,469264044
188803,2025-03-01,1,193252464
762145,2025-04-01,1,479057690
150804,2024-11-01,2,"141885623,578036941"
288726,2024-10-01,1,281158049
936218,2025-04-01,1,227311882
188803,2025-01-01,1,494106365
321136,2024-11-01,1,325870667
150804,2025-05-01,2,"317486093,26470654"
321136,2025-04-01,1,255520239
150804,2024-09-01,3,"12649409,66664398,163354616"
753991,2025-03-01,1,19582174
150804,2025-01-01,1,1003208
288726,2025-05-01,1,521070794
936218,2025-07-01,1,367209831
150804,2024-12-01,2,"176528827,161896397"
753991,2025-05-01,1,120776244
753687,2025-07-01,4,"444454279,111662523,36292246,495455667"
295998,2025-08-01,1,83133917
753687,2025-03-01,1,61340195
945297,2025-02-01,1,99612384
753687,2024-11-01,2,"466320500,53219842"
936218,2024-11-01,1,157037560
945297,2024-11-01,1,377943822
753991,2024-12-01,1,331707313
762145,2025-01-01,1,575077218
753687,2024-10-01,1,68271808
150804,2025-04-01,3,"113862,452664267,166700970"
613528,2024-10-01,4,"102969674,21530511,218954029,115241859"
783202,2025-03-01,5,"6824422,58079749,5418287,77636673,13217131"
302705,2025-04-01,1,16952331
613528,2025-03-01,4,"208363804,247426653,483474586,16645470"
783202,2025-04-01,2,"64071231,3280938"
783202,2025-07-01,1,100781334
613528,2025-02-01,3,"505259937,490484115,167250458"
886808,2025-03-01,6,"149110735,112539227,289442195,349176751,54498283,293775470"
136493,2025-03-01,2,"26263565,9350282"
886808,2025-04-01,5,"64996240,124478868,657516830,147579494,261783944"
724866,2024-10-01,1,106753982
67299,2024-12-01,1,223902717
613528,2025-07-01,3,"130994,53812718,350038434"
476983,2024-10-01,1,35637052
67299,2025-03-01,1,90301896
783202,2025-02-01,3,"161153272,585559745,23263476"
255476,2024-11-01,1,107585606
613528,2024-09-01,5,"203247347,242986615,103505395,477592052,6149776"
613528,2025-04-01,2,"540401571,31732330"
886808,2025-01-01,5,"527341587,140735,214808680,230291522,31212001"
476983,2025-05-01,1,35637052
783202,2025-05-01,2,"19258022,32159373"
886808,2024-10-01,2,"1682409,17538733"
886808,2024-09-01,5,"534174355,296541460,20855056,153564491,370243080"
886808,2024-12-01,3,"162188015,183511530,215957696"
476983,2025-01-01,1,220278820
886808,2025-08-01,8,"106952814,400513233,65874586,58107994,709099570,492571372,276895479,157829237"
255476,2025-01-01,1,110290466
783202,2024-12-01,2,"523228545,3341216"
613528,2024-11-01,2,"506915824,181140274"
783202,2025-01-01,4,"195987206,107681191,179418894,328664780"
613528,2024-12-01,3,"237514861,199379269,470106520"
302705,2025-06-01,1,587383547
724866,2024-11-01,1,222063880
783202,2025-06-01,2,"51698547,2389167"
886808,2025-05-01,7,"24548813,109015940,652438232,68572752,81338932,176382525,205576177"
886808,2025-02-01,5,"31303276,522754948,149024085,670415690,51156879"
136493,2024-11-01,2,"95148275,71492167"
783202,2024-09-01,3,"558144690,1258092,14513261"
886808,2025-06-01,8,"196227497,693114155,18043868,565813906,37513518,668139589,53355884,107629081"
613528,2025-06-01,1,60852641
476983,2025-02-01,1,35637052
613528,2025-05-01,3,"317121071,262509423,21839995"
886808,2025-07-01,3,"565075,46978129,329228259"
