listing_id,date,num_reviews,reviewers
2997407,2025-06-01,1,9131961
4824175,2024-09-01,4,"471491093,45982406,650721854,85501855"
3923307,2024-10-01,1,7538345
1110760,2025-07-01,1,10593229
5756051,2024-10-01,1,71981841
5289620,2025-05-01,2,"33360449,406916408"
2997407,2025-04-01,1,62822772
2997407,2024-10-01,1,5720476
418607,2024-09-01,1,468470168
1110760,2024-12-01,1,590891706
4824175,2024-10-01,1,576710260
3923307,2025-01-01,1,16218558
5289620,2025-04-01,2,"276502101,115540120"
5756051,2024-09-01,2,"83146476,139456026"
4017360,2025-06-01,1,698037763
6092042,2024-10-01,1,74693773
1727775,2025-06-01,4,"665784446,179668127,45092911,151057019"
6092042,2025-02-01,2,"452783710,593852274"
4017360,2024-09-01,1,95851584
2336683,2024-12-01,1,19003250
4145383,2025-02-01,1,39892726
1170889,2024-09-01,1,19504711
6092042,2024-09-01,1,83110066
6092042,2025-03-01,4,"53835779,295369450,3599188,154242432"
4145383,2025-03-01,1,71638345
6092042,2024-11-01,1,593852274
1170889,2025-07-01,1,100455316
5746685,2025-04-01,1,79669388
406646,2025-04-01,1,658466639
406646,2025-05-01,1,47115880
883109,2025-07-01,4,"123547544,417504644,2844349,9231022"
288341,2024-10-01,1,141763312
2319682,2024-12-01,1,449105048
288341,2025-07-01,2,"562535857,53833782"
1650864,2025-06-01,1,23517868
1650864,2025-04-01,1,665182269
1297164,2025-02-01,1,335981383
5261334,2025-07-01,1,124723677
883109,2025-08-01,1,678630910
2319682,2024-09-01,3,"170812727,15783177,5606995"
1650864,2025-07-01,1,442990735
883109,2024-09-01,1,72780711
288341,2025-06-01,2,"16589190,128367571"
5746685,2024-12-01,1,18219804
1297164,2024-09-01,1,582869554
288341,2025-05-01,1,5614010
288341,2024-11-01,2,"71399147,135906849"
1650864,2025-02-01,1,46147252
5261334,2024-12-01,1,138175004
5746685,2024-10-01,1,119674339
6056440,2024-12-01,1,51824463
1145641,2024-09-01,2,"597265221,260882324"
1145641,2025-06-01,1,24623468
1550684,2025-03-01,3,"4411042,83862842,155949114"
1550684,2024-12-01,1,58647047
817749,2024-09-01,1,92958510
2247703,2025-04-01,2,"556770063,16607161"
4565516,2024-12-01,5,"196476226,444542660,244631794,386620981,128066341"
4565516,2025-05-01,1,73635963
1550684,2024-11-01,1,81868518
6056440,2025-04-01,2,"29793537,26735966"
4565516,2024-10-01,6,"58376889,26488744,19896819,12906698,525887632,119564777"
1550684,2025-04-01,2,"63149906,22726305"
6056440,2025-03-01,3,"314125901,16147197,208383041"
1145641,2025-05-01,2,"116557662,236341334"
4565516,2025-07-01,9,"540543,251713868,35888182,152194098,10837312,566616340,258755337,708502460,707564184"
4565516,2025-06-01,6,"330815490,392135518,96218124,55540305,399563975,252546880"
1145641,2024-11-01,1,117686194
6056440,2024-10-01,2,"537594854,417652819"
1242683,2025-05-01,1,115692985
2247703,2025-07-01,2,"61967063,541048827"
1550684,2025-06-01,2,"53494537,140327246"
2247703,2025-02-01,1,51826486
1161630,2024-09-01,1,162272755
4565516,2025-04-01,5,"145656344,19566089,158100000,539142277,133610126"
817749,2025-06-01,1,140827021
6056440,2024-11-01,3,"140127512,587206719,549734379"
6056440,2025-06-01,2,"137106937,166330132"
6056440,2025-07-01,2,"80597466,399967"
2247703,2024-09-01,3,"414579369,96305708,175389543"
4516591,2025-03-01,1,667943858
1145641,2024-12-01,2,"3263020,476682067"
817749,2025-08-01,1,583428811
2247703,2025-06-01,5,"8529710,136769586,419630609,27749847,575333116"
4565516,2025-08-01,7,"430672137,116150974,108495367,430672137,43906408,96483493,565671695"
6056440,2024-09-01,3,"483882069,467464380,489619420"
1145641,2024-10-01,1,507652133
4565516,2024-11-01,6,"201187351,137283811,581583882,25632879,446263753,481611358"
1145641,2025-03-01,2,"683033024,141068349"
2247703,2025-05-01,4,"315592912,84352704,2019680,118427482"
1550684,2025-07-01,1,4503035
1161630,2024-10-01,1,109778162
2247703,2024-10-01,4,"408476419,2046651,8694493,238028462"
1145641,2025-07-01,1,129403327
2247703,2024-11-01,3,"93044739,453387982,88106368"
2247703,2025-03-01,2,"406814965,657425908"
4529616,2025-04-01,1,47381444
1161630,2025-01-01,1,599584760
